Word1,Word2,DTW Distance,Total Length,Std Dev,Diagonal Deviation,Turning Points,Compression Points,Expansion Points
Salam,Salam,55.71741859248269,69.88225099390857,0.08116894978836614,0.5882352941176471,1.5,1,1
Salam,Bale,136.8169369416691,75.1543289325507,0.19607381743601895,7.2,3.5,10,10
Bale,Kheir,144.0366042477731,72.22539674441617,0.16090031453665968,3.618181818181818,2.5,5,5
Bale,Motshakeram,159.11499244662113,74.5685424949238,0.19162958951763928,3.135593220338983,3.5,9,9
BesiarAali,BesiarAali,29.27251100710211,70.46803743153546,0.11136098487967118,0.34615384615384615,4.0,2,2
Motshakeram,Motshakeram,35.34653922424542,69.88225099390857,0.08116894978836614,0.43137254901960786,2.0,1,1
Salam,Motshakeram,92.40912383442128,73.39696961966999,0.17935973380357528,4.385964912280702,5.5,7,7
BesiarAali,BesiarAali,27.58439590493156,70.46803743153546,0.11136098487967117,0.6730769230769231,4.0,2,2
BesiarAali,BesiarAali,29.27251100710211,70.46803743153546,0.11136098487967118,0.34615384615384615,4.0,2,2
BesiarAali,BesiarAali,38.35535286481531,70.46803743153546,0.11136098487967117,0.6923076923076923,3.0,2,2
BesiarAali,BesiarAali,29.690169266453747,69.88225099390857,0.08116894978836615,0.1568627450980392,2.0,1,1
BesiarAali,Salam,114.60089506778935,69.29646455628166,0.0,0.0,0.0,0,0
BesiarAali,Motshakeram,114.61824106583174,69.88225099390857,0.08116894978836614,0.9607843137254902,1.0,1,1
Salam,Motshakeram,108.66095563873192,72.81118318204308,0.1710749713675805,4.517857142857143,4.5,6,6
Salam,Motshakeram,87.75501110202191,73.9827560572969,0.18612357197926796,5.396551724137931,7.5,8,8
Salam,Motshakeram,100.12424256860959,73.98275605729691,0.18612357197926796,5.879310344827586,4.5,8,8
Salam,Motshakeram,104.04008861735886,74.5685424949238,0.19162958951763928,6.593220338983051,5.5,9,9
